,code,mean_rt,word,surprisal
835,18656,292.56904761904764,by,5.34542
836,18657,266.1333333333333,a,4.19672
837,18658,291.6771428571429,psychologist,15.8519
838,18659,319.0828571428571,as,8.22032
839,18660,269.8757142857143,a,3.23962
842,18663,288.40761904761905,He,5.6328
843,18664,310.752380952381,walked,16.9554
844,18665,328.85285714285715,with,8.28716
845,18666,285.72142857142853,a,3.59166
846,18667,342.22857142857146,heavy,9.16086
847,18668,272.40523809523813,list,13.869
848,18669,330.96238095238095,to,7.3741
849,18670,276.1585714285714,the,4.48029
851,18672,317.2575,as,7.95793
852,18673,318.78000000000003,that,10.3517
853,18674,411.0752380952381,leg,15.9592
854,18675,312.37285714285713,was,8.42698
855,18676,293.26095238095235,four,13.5624
856,18677,309.75428571428574,inches,15.3704
857,18678,333.5909523809524,shorter,16.4845
858,18679,339.5995238095238,than,4.54835
859,18680,292.38619047619045,the,3.84366
861,18682,282.5204761904762,but,10.9366
862,18683,331.3938095238095,the,5.9996
864,18685,301.3355,did,13.0055
865,18686,282.6975,not,3.90367
866,18687,316.42238095238093,reduce,14.3385
867,18688,326.1333333333333,his,10.117
870,18691,400.1519047619048,with,7.79957
871,18692,326.5785714285714,his,5.5126
874,18695,406.4214285714286,thought,14.2223
875,18696,326.60714285714283,him,11.7746
877,18698,321.5361904761905,a,7.4168
878,18699,304.21238095238095,superior,12.4209
879,18700,366.26095238095235,sort,14.1943
