,word,wlen,surp,mono_gaze_dur,mono_fix_pup_size,l2_gaze_dur,l2_fix_pup_size
285,as,2,6.636677265167236,172.2,1859.4,186.0,3258.0
286,well,4,5.438686370849609,311.2307692307692,2224.1407692307694,332.875,2607.21875
287,as,2,1.786587834358215,194.0,1550.25,221.5,3261.0
288,the,3,2.7149908542633057,196.25,2280.25,224.42857142857144,2415.618571428572
289,larger,6,12.017448425292969,230.0,2036.692307692308,277.5,2555.0
290,part,4,9.448760986328123,226.625,1887.5625,307.0,2848.1666666666665
291,of,2,0.2028333246707916,187.0,2023.642857142857,366.5,2588.25
292,his,3,6.256462097167969,219.0,2188.5,205.8571428571429,2570.6428571428573
293,an,2,12.53763198852539,264.125,2095.75,233.3333333333333,2817.333333333333
294,arrangement,11,13.785965919494627,275.2857142857143,2164.029285714286,480.875,2480.6975
295,that,4,6.646649360656738,243.5,2271.15,222.8571428571429,2454.785714285714
296,was,3,7.306952476501465,237.25,1925.4375,245.66666666666663,2185.6666666666665
297,distinctly,10,19.177988052368164,234.53846153846155,2095.192307692308,392.5,2389.70875
298,unfair,6,17.7972469329834,284.0,2080.4746153846154,275.44444444444446,2429.472222222222
299,to,2,5.1477460861206055,224.16666666666663,2001.5,223.2,2412.2
300,his,3,6.398566246032715,201.625,2293.0,283.77777777777777,2459.185555555556
301,two,3,8.5343656539917,269.1428571428572,1998.678571428572,224.3333333333333,2168.6666666666665
302,Their,5,12.86060905456543,280.53846153846155,2072.653846153846,251.77777777777777,2449.9255555555555
303,had,3,8.64655876159668,251.75,2046.3125,164.0,2399.2
304,always,6,10.125178337097168,224.63636363636363,2233.3636363636365,304.55555555555554,2360.8700000000003
305,been,4,9.173797607421877,193.375,1956.75,284.5,2329.1666666666665
306,most,4,9.775663375854492,194.6,2195.733,218.57142857142856,2613.714285714286
307,generous,8,15.912860870361328,206.15384615384616,2093.769230769231,336.1111111111111,2551.8144444444447
308,to,2,5.624157905578613,236.25,1747.875,247.5,1667.5
309,they,4,10.570499420166016,173.85714285714286,1866.642857142857,175.5,2100.25
310,were,4,4.360076427459717,226.8,1986.967,324.0,2393.285714285714
311,so,2,9.158493995666504,207.57142857142856,1782.071428571429,227.0,2422.75
312,young,5,13.509465217590332,216.9090909090909,1876.909090909091,213.8571428571429,2270.8571428571427
313,at,2,8.401041984558105,212.8,1808.8,217.6,2612.8
314,the,3,1.9199645519256592,124.57142857142856,1980.571428571429,132.33333333333334,2078.5
315,time,4,8.312724113464355,226.45454545454547,1904.6818181818185,271.2857142857143,2433.785714285714
316,of,2,2.5551044940948486,160.4,2311.5,276.5,2691.25
317,their,5,7.571036338806152,200.3,2027.2,229.1428571428572,2299.118571428572
318,remarriage,10,21.31482696533203,253.0,1953.3461538461536,367.25,2285.5625
319,that,4,6.772701263427734,293.1666666666667,1796.75,230.57142857142856,2325.785714285714
320,they,4,8.487993240356445,239.42857142857144,2156.5714285714284,211.0,2313.083333333333
321,always,6,10.741928100585938,249.72727272727272,1903.3636363636365,291.875,2329.125
322,thought,7,13.116514205932615,194.27272727272728,2055.954545454545,249.3333333333333,2292.981111111111
323,of,2,5.672002792358398,171.5,2534.0,292.0,2612.25
324,her,3,7.094737529754639,201.77777777777777,1738.6666666666667,242.8,2251.7
325,as,2,7.934113025665283,265.75,1984.875,278.8,2153.5
326,their,5,8.002891540527344,200.0,1813.0454545454545,223.77777777777777,2340.222222222222
327,own,3,6.345402240753174,99.42857142857144,2052.8571428571427,137.6,2436.0
328,the,3,5.757648468017578,206.42857142857144,1783.2857142857142,278.75,2131.375
329,had,3,8.53777027130127,211.375,2183.125,201.5,2235.625
330,been,4,5.185431480407715,242.1,1988.7,239.42857142857144,2206.082857142857
331,a,1,3.972791910171509,198.8571428571429,2032.928571428572,221.3333333333333,2546.1666666666665
332,delicate,8,15.840295791625977,242.6,1974.933,321.125,2254.1675
333,He,2,7.745289802551269,250.5,1900.6,194.42857142857144,2602.464285714286
334,had,3,4.728113651275635,276.0,2061.9375,344.2857142857143,2602.285714285714
335,qualified,9,12.12259292602539,229.78571428571428,2059.5,317.375,2517.545
336,as,2,4.809519290924072,258.1111111111111,2017.3333333333333,330.0,2393.0
337,a,1,3.1686925888061523,235.2,2461.4,312.5,2579.8616666666667
338,doctor,6,12.187142372131348,162.22222222222223,2150.333333333333,228.5,2474.5625
339,but,3,8.962265014648438,212.8333333333333,2241.1666666666665,240.4,2634.366
340,early,5,12.235520362854004,202.07692307692307,2189.423076923077,278.625,2535.7825
341,relinquished,12,18.42190361022949,458.3571428571428,2170.1092857142858,515.125,2584.245
