,word,wlen,surp,l1_gaze_dur,l1_fix_pup_size
410,hebben,6.0,7.975528717041016,223.625,1869.6875
411,die,3.0,9.91472339630127,186.16666666666663,2051.1666666666665
412,hem,3.0,13.22777271270752,141.75,1575.5
413,in,2.0,5.178830146789551,300.0,1625.0
414,staat,5.0,17.131696701049805,236.5,2034.25
415,zou,3.0,14.724197387695312,172.0,1864.75
416,stellen,7.0,13.75107192993164,231.8,1896.15
417,op,2.0,6.102736473083496,111.0,3007.0
418,zichzelf,8.0,13.943451881408691,262.9,1921.55
419,te,2.0,5.887177467346191,272.5,1874.4166666666667
420,Maar,4.0,14.64962387084961,195.375,2112.8125
421,mevrouw,7.0,16.74005889892578,205.77777777777777,2110.352222222222
422,Cavendish,9.0,18.829811096191406,203.7,2073.95
423,was,3.0,6.634301662445068,168.5,2208.0
424,iemand,6.0,16.34539794921875,223.1,2131.3
425,die,3.0,8.056437492370605,158.75,1888.25
426,graag,5.0,14.92116641998291,203.5,2166.1
427,haar,4.0,12.895700454711914,229.66666666666663,2193.5
428,eigen,5.0,15.34114933013916,216.0,2040.7777777777776
429,zin,3.0,11.139354705810549,193.3333333333333,2029.3333333333333
430,deed,4.0,16.491819381713867,271.42857142857144,2184.0714285714284
431,en,2.0,5.060507774353027,190.5,2223.0
432,van,3.0,7.198065757751465,227.0,2146.214285714286
433,andere,6.0,9.987652778625488,189.1428571428572,2102.8571428571427
