,word,sentid,sentpos,wlen,surp,entropy,entred
202,leave,10,21,5,14.294548988342283,12.035268783569336,0.0
203,<unk>,10,22,5,23.992019653320312,10.727845191955566,1.3074235916137695
204,<unk>,10,23,5,25.10625648498535,8.832805633544922,1.8950395584106443
205,mater,10,24,5,17.650035858154297,8.274660110473633,0.5581455230712891
206,will,10,25,4,10.71324634552002,9.166543006896973,0.0
207,be,10,26,2,3.76654863357544,11.14998722076416,0.0
208,delighted,10,27,9,19.87002182006836,9.876599311828612,1.2733879089355469
209,to,10,28,2,2.887718439102173,7.156552791595459,2.7200465202331543
210,see,10,29,3,9.53514289855957,9.975916862487791,0.0
211,you,10,30,3,11.369644165039062,10.826194763183594,0.0
212,<unk>,10,31,5,25.42869758605957,7.848502159118652,2.9776926040649414
213,all,10,32,3,11.354583740234377,8.06457805633545,0.0
214,those,10,33,5,11.009714126586914,10.77052402496338,0.0
215,<unk>,10,34,5,25.25757598876953,8.302427291870117,2.4680967330932617
216,he,10,35,2,9.113611221313477,7.9702839851379395,0.3321433067321777
217,<unk>,10,36,5,28.54398727416992,7.740869045257568,0.2294149398803711
218,<unk>,10,37,5,23.96654510498047,10.812225341796877,0.0
219,mother,10,38,6,16.71457290649414,7.696404457092285,3.11582088470459
220,keeps,10,39,5,16.232532501220703,7.479861259460449,0.2165431976318359
221,<unk>,10,40,5,25.655988693237305,8.159749984741211,0.0
222,I,10,41,1,10.318705558776855,8.915670394897461,0.0
223,<unk>,10,42,5,25.22976303100586,8.413688659667969,0.5019817352294922
224,<unk>,10,43,5,25.091306686401367,8.792263984680176,0.0
225,<unk>,10,44,5,25.50530242919922,8.22976016998291,0.5625038146972656
226,I,11,0,1,9.403525352478027,13.10289478302002,0.0
227,suppose,11,1,7,19.078275680541992,11.251465797424316,1.8514289855957031
228,you,11,2,3,13.376758575439451,10.23587703704834,1.0155887603759766
229,know,11,3,4,15.106661796569824,9.7214994430542,0.5143775939941406
230,that,11,4,4,5.68788480758667,9.16688060760498,0.5546188354492188
231,she,11,5,3,8.909049034118652,10.957079887390137,0.0
232,has,11,6,3,5.47672700881958,7.388542652130127,3.5685372352600098
233,married,11,7,7,9.763520240783691,9.880651473999023,0.0
234,<unk>,11,8,5,25.71797752380371,8.007633209228516,1.873018264770508
235,I,11,9,1,10.395009994506836,8.797905921936035,0.0
236,am,11,10,2,13.615852355957031,8.457225799560547,0.3406801223754883
237,afraid,11,11,6,17.312543869018555,10.840169906616213,0.0
238,I,11,12,1,10.89328384399414,8.034838676452637,2.805331230163574
239,showed,11,13,6,13.494006156921388,8.770696640014648,0.0
240,my,11,14,2,12.387386322021484,8.465311050415039,0.3053855895996094
241,surprise,11,15,8,15.930187225341797,12.018277168273926,0.0
242,rather,11,16,6,12.302406311035156,10.690768241882324,1.3275089263916016
243,<unk>,11,17,5,23.9699821472168,10.799835205078123,0.0
244,<unk>,12,0,5,22.81322860717773,13.10289478302002,0.0
245,<unk>,12,1,5,23.697725296020508,10.164562225341797,2.9383325576782227
246,who,12,2,3,8.760211944580078,9.402241706848145,0.7623205184936523
247,had,12,3,3,4.559834003448486,7.008242607116699,2.3939990997314453
248,married,12,4,7,9.527194023132324,9.927978515625,0.0
249,<unk>,12,5,5,25.48423194885254,8.420449256896973,1.5075292587280271
250,father,12,6,6,15.30419921875,8.637351989746094,0.0
251,when,12,7,4,9.418627738952637,8.591113090515137,0.046238899230957
252,he,12,8,2,7.4644775390625,11.725884437561035,0.0
253,was,12,9,3,2.7729380130767822,7.75103235244751,3.974852085113525
254,a,12,10,1,4.042004585266113,10.135822296142578,0.0
255,widower,12,11,7,15.284967422485352,12.307195663452148,0.0
256,with,12,12,4,6.323729038238525,9.217743873596191,3.089451789855957
257,two,12,13,3,8.079985618591309,9.52597427368164,0.0
258,<unk>,12,14,5,24.39291763305664,12.02260398864746,0.0
259,had,12,15,3,8.109914779663086,7.66754674911499,4.355057239532471
260,been,12,16,4,4.8926215171813965,9.88054656982422,0.0
261,a,12,17,1,3.988542079925537,9.888782501220703,0.0
262,handsome,12,18,8,13.662315368652344,12.30659008026123,0.0
263,woman,12,19,5,12.947772026062012,9.0586519241333,3.2479381561279297
264,of,12,20,2,2.7546098232269287,7.020223140716553,2.038428783416748
265,<unk>,12,21,5,23.597740173339844,10.293588638305664,0.0
266,as,12,22,2,6.442260265350342,7.770066261291504,2.52352237701416
267,I,12,23,1,9.91759967803955,9.58559799194336,0.0
268,remembered,12,24,10,17.32041358947754,8.034419059753418,1.5511789321899414
269,<unk>,12,25,5,25.660911560058597,8.148118019104004,0.0
270,She,13,0,3,9.212735176086426,13.10289478302002,0.0
271,certainly,13,1,9,18.16521453857422,8.462388038635254,4.640506744384766
272,could,13,2,5,12.186517715454102,11.765724182128906,0.0
273,not,13,3,3,4.47933292388916,9.504922866821287,2.260801315307617
274,be,13,4,2,8.792668342590332,11.01433277130127,0.0
275,a,13,5,1,3.972509622573853,9.930952072143556,1.0833806991577148
276,day,13,6,3,10.267841339111328,12.31803035736084,0.0
277,less,13,7,4,12.758448600769045,10.265128135681152,2.0529022216796875
278,than,13,8,4,8.67896842956543,10.816730499267578,0.0
279,seventy,13,9,7,15.412679672241213,9.883438110351562,0.9332923889160156
280,<unk>,13,10,5,24.32991600036621,12.027384757995604,0.0
281,I,14,0,1,9.403525352478027,13.10289478302002,0.0
282,recalled,14,1,8,20.26751136779785,11.251465797424316,1.8514289855957031
283,her,14,2,3,10.782269477844238,10.107670783996582,1.1437950134277344
284,as,14,3,2,8.0407075881958,12.25778102874756,0.0
285,an,14,4,2,5.902639865875244,9.844847679138184,2.412933349609375
286,<unk>,14,5,5,24.45207023620605,12.83380889892578,0.0
287,autocratic,14,6,10,23.261781692504883,9.013108253479004,3.820700645446777
288,<unk>,14,7,5,25.33159446716309,11.70671558380127,0.0
289,somewhat,14,8,8,17.059844970703125,8.140034675598145,3.566680908203125
290,inclined,14,9,8,17.69690704345703,10.782527923583984,0.0
291,to,14,10,2,5.169027805328369,8.682138442993164,2.1003894805908203
292,charitable,14,11,10,14.12564754486084,9.946250915527344,0.0
293,and,14,12,3,5.197968006134033,12.04783821105957,0.0
294,social,14,13,6,10.665626525878906,11.885618209838867,0.1622200012207031
295,<unk>,14,14,5,24.341567993164062,12.055200576782228,0.0
296,with,14,15,4,6.441273212432861,8.175612449645996,3.8795881271362314
297,a,14,16,1,4.272687911987305,9.53744888305664,0.0
298,fondness,14,17,8,15.129220008850098,12.308341979980469,0.0
299,for,14,18,3,5.709351539611816,7.423816680908203,4.884525299072266
300,opening,14,19,7,13.83078670501709,9.542858123779297,0.0
301,<unk>,14,20,5,24.00369071960449,10.66962718963623,0.0
302,and,14,21,3,3.86376428604126,8.164170265197754,2.505456924438477
303,playing,14,22,7,13.13790512084961,12.463129997253418,0.0
304,the,14,23,3,3.643699407577514,10.628132820129396,1.8349971771240237
305,Lady,14,24,4,14.166329383850098,13.125269889831545,0.0
306,<unk>,14,25,5,24.14543914794922,12.178157806396484,0.9471120834350586
307,She,15,0,3,9.212735176086426,13.10289478302002,0.0
308,was,15,1,3,3.2854580879211426,8.462388038635254,4.640506744384766
309,a,15,2,1,4.07166862487793,10.165844917297363,0.0
